ordem_global	id_protocolo	sujeito	problema_quadro	categoria	tarefa	avaliacao_ce	task_family	artifact_family	fase_protocolo	historico_erros	consecutivos_bin	ultima_avaliacao	feedback_previo	ajuda_previa	repete_familia	posicao_rotulada	erros_anteriores	acertos_anteriores	erros_consecutivos_antes	pred_j48_cv	pred_part_cv
450	PR0016	S8	01	Transformação	Associar o número relativo ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	zero	C	0	0	0	4	2	1	0	E	C
451	PR0016	S8	01	Transformação	Informar o resultado	C	resultado	campo_resultado	intermediaria1	1a2	zero	C	0	0	0	5	2	2	0	E	C
456	PR0017	S8	02	Transformação	Identificar o tipo de problema	E	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	E	C
465	PR0017	S8	02	Transformação	Identificar o elemento representativo	E	simbolo_categoria	outro	inicio	1a2	um	E	0	1	0	2	1	0	1	E	E
467	PR0017	S8	02	Transformação	Identificar o tipo de problema	E	categoria	menu_categoria	inicio	1a2	dois	E	0	0	0	3	2	0	2	C	C
470	PR0017	S8	02	Transformação	Identificar o tipo de problema	E	categoria	menu_categoria	intermediaria1	3a5	tresmais	E	0	1	1	4	3	0	3	C	C
476	PR0017	S8	02	Transformação	Identificar o tipo de problema	C	categoria	menu_categoria	intermediaria1	3a5	tresmais	E	0	0	1	5	4	0	4	C	C
478	PR0017	S8	02	Transformação	Identificar o tipo de problema	E	categoria	menu_categoria	intermediaria1	3a5	zero	C	0	0	1	6	4	1	0	E	C
480	PR0017	S8	02	Transformação	Identificar o tipo de problema	C	categoria	menu_categoria	intermediaria1	3a5	um	E	0	0	1	7	5	1	1	C	C
482	PR0017	S8	02	Transformação	Executar ação do sujeito	C	outra	interface	intermediaria2	3a5	zero	C	0	0	0	8	5	2	0	E	C
491	PR0017	S8	02	Transformação	Associar o número relativo ao modelo	C	posicionamento	diagrama	intermediaria2	3a5	zero	C	0	0	0	9	5	3	0	C	C
494	PR0017	S8	02	Transformação	Definir o sinal do número relativo	E	sinal	controle_sinal	intermediaria2	3a5	zero	C	0	0	0	10	5	4	0	E	C
496	PR0017	S8	02	Transformação	Definir o sinal do número relativo	E	sinal	controle_sinal	intermediaria2	6mais	um	E	1	1	1	11	6	4	1	E	E
506	PR0017	S8	02	Transformação	Associar um elemento ao modelo	C	posicionamento	diagrama	intermediaria2	6mais	dois	E	0	0	0	12	7	4	2	E	C
509	PR0017	S8	02	Transformação	Informar o resultado	C	resultado	campo_resultado	intermediaria2	6mais	zero	C	1	0	0	13	7	5	0	E	C
516	PR0018	S8	03	Transformação	Identificar o elemento representativo	E	simbolo_categoria	outro	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	C	C
523	PR0018	S8	03	Transformação	Associar um elemento ao modelo	C	posicionamento	diagrama	inicio	1a2	um	E	1	0	0	2	1	0	1	E	E
524	PR0018	S8	03	Transformação	Executar ação do sujeito	C	outra	interface	inicio	1a2	zero	C	0	0	0	3	1	1	0	E	C
530	PR0019	S8	04	Composição	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	C	C
532	PR0019	S8	04	Composição	Identificar o elemento representativo	C	simbolo_categoria	outro	inicio	zero	zero	C	0	0	0	2	0	1	0	C	C
536	PR0019	S8	04	Composição	Associar incorretamente um elemento ao modelo	E	posicionamento	diagrama	inicio	zero	zero	C	0	0	0	3	0	2	0	E	E
547	PR0020	S8	05	Comparação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	C	C
549	PR0020	S8	05	Comparação	Executar ação do sujeito	C	outra	interface	inicio	zero	zero	C	0	0	0	2	0	1	0	E	C
553	PR0020	S8	05	Comparação	Associar incorretamente um elemento ao modelo	E	posicionamento	diagrama	inicio	zero	zero	C	0	0	0	3	0	2	0	E	C
557	PR0020	S8	05	Comparação	Associar incorretamente um elemento ao modelo	E	posicionamento	diagrama	intermediaria1	1a2	um	E	0	0	1	4	1	2	1	E	C
560	PR0020	S8	05	Comparação	Associar o número relativo ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	dois	E	1	1	1	5	2	2	2	E	C
563	PR0020	S8	05	Comparação	Definir o sinal do número relativo	E	sinal	controle_sinal	intermediaria1	1a2	zero	C	0	0	0	6	2	3	0	E	C
568	PR0020	S8	05	Comparação	Definir o sinal do número relativo	C	sinal	controle_sinal	intermediaria1	3a5	um	E	0	0	1	7	3	3	1	E	C
571	PR0020	S8	05	Comparação	Associar um elemento ao modelo	C	posicionamento	diagrama	intermediaria2	3a5	zero	C	0	0	0	8	3	4	0	E	C
573	PR0020	S8	05	Comparação	Associar um elemento ao modelo	C	posicionamento	diagrama	intermediaria2	3a5	zero	C	1	0	1	9	3	5	0	C	C
575	PR0020	S8	05	Comparação	Associar incorretamente um elemento ao modelo	E	posicionamento	diagrama	intermediaria2	3a5	zero	C	1	0	1	10	3	6	0	C	C
578	PR0020	S8	05	Comparação	Associar incorretamente um elemento ao modelo	E	posicionamento	diagrama	intermediaria2	3a5	um	E	1	1	1	11	4	6	1	C	C
580	PR0020	S8	05	Comparação	Associar um elemento ao modelo	C	posicionamento	diagrama	intermediaria2	3a5	dois	E	1	1	1	12	5	6	2	E	C
586	PR0021	S8	06	Comparação	Identificar o tipo de problema	E	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	E	C
591	PR0021	S8	06	Comparação	Identificar o tipo de problema	E	categoria	menu_categoria	inicio	1a2	um	E	0	0	1	2	1	0	1	E	C
595	PR0021	S8	06	Comparação	Identificar o tipo de problema	E	categoria	menu_categoria	inicio	1a2	dois	E	0	0	1	3	2	0	2	E	C
600	PR0021	S8	06	Comparação	Identificar o tipo de problema	C	categoria	menu_categoria	intermediaria1	3a5	tresmais	E	0	0	1	4	3	0	3	E	C
602	PR0021	S8	06	Comparação	Identificar o elemento representativo	C	simbolo_categoria	outro	intermediaria1	3a5	zero	C	0	0	0	5	3	1	0	C	C
606	PR0021	S8	06	Comparação	Associar incorretamente um elemento ao modelo	E	posicionamento	diagrama	intermediaria1	3a5	zero	C	0	0	0	6	3	2	0	E	C
610	PR0021	S8	06	Comparação	Associar incorretamente um elemento ao modelo	E	posicionamento	diagrama	intermediaria1	3a5	um	E	0	0	1	7	4	2	1	E	C
623	PR0022	S(15-06-10)	01	Transformação	Identificar o tipo de problema	C	categoria	menu_categoria	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	E	C
625	PR0022	S(15-06-10)	01	Transformação	Executar ação do sujeito	C	outra	interface	inicio	zero	zero	C	0	0	0	2	0	1	0	E	C
634	PR0022	S(15-06-10)	01	Transformação	Associar uma parte ao modelo	C	posicionamento	diagrama	inicio	zero	zero	C	0	1	0	3	0	2	0	C	E
636	PR0022	S(15-06-10)	01	Transformação	Associar o número relativo ao modelo	C	posicionamento	diagrama	intermediaria1	zero	zero	C	0	1	1	4	0	3	0	E	E
638	PR0022	S(15-06-10)	01	Transformação	Definir o sinal do número relativo	C	sinal	controle_sinal	intermediaria1	zero	zero	C	0	0	0	5	0	4	0	E	C
640	PR0022	S(15-06-10)	01	Transformação	Associar uma parte ao modelo	C	posicionamento	diagrama	intermediaria1	zero	zero	C	1	0	0	6	0	5	0	C	C
647	PR0023	S(15-06-10)	02	Comparação	Identificar o elemento representativo	C	simbolo_categoria	outro	inicio	zero	zero	INICIO	0	0	0	1	0	0	0	C	C
650	PR0023	S(15-06-10)	02	Comparação	Associar incorretamente uma parte ao modelo	E	posicionamento	diagrama	inicio	zero	zero	C	0	0	0	2	0	1	0	E	E
652	PR0023	S(15-06-10)	02	Comparação	Associar incorretamente uma parte ao modelo	E	posicionamento	diagrama	inicio	1a2	um	E	1	1	1	3	1	1	1	C	C
655	PR0023	S(15-06-10)	02	Comparação	Associar o número relativo ao modelo	C	posicionamento	diagrama	intermediaria1	1a2	dois	E	0	0	1	4	2	1	2	C	E
657	PR0023	S(15-06-10)	02	Comparação	Definir o sinal do número relativo	C	sinal	controle_sinal	intermediaria1	1a2	zero	C	0	0	0	5	2	2	0	C	C
